commentId,videoId,videoTitle,channelId,channelTitle,author,authorChannelId,text,publishedAt,updatedAt,likeCount,replyCount,parentId,isReply
UgzAgJ2HLPD7ZNYLEKZ4AaABAg,_pO7BRNdJdc,,,,@braynergabriel6282,UCLN9QAEHOaPGHCdqOFkFTog,"Hey jhon! Thanks for showing thé instrument, and how it&#39;s called?",2025-09-22T14:07:17Z,2025-09-22T14:07:17Z,0,1,,False
Ugx6n4wv7rBfWCZaLkl4AaABAg,_pO7BRNdJdc,,,,@Bruce-Leroy,UCJ9B_S18VWibdqBLeN0e1Ag,Freebird!!!!!!🔥🔥🔥,2025-09-22T13:45:16Z,2025-09-22T13:45:16Z,0,0,,False
UgzzguEd56syo9RIdAd4AaABAg,_pO7BRNdJdc,,,,@ItBeGiR,UC90MV1TqRKjVNycq-8X1sog,+500 social credit score,2025-09-22T13:32:30Z,2025-09-22T13:32:30Z,0,0,,False
UgyYnezdmx8cJoVmbu54AaABAg,_pO7BRNdJdc,,,,@venisontron,UCPHRJeCEIWixyRxoppTrRmA,"76K views, 58y ago",2025-09-22T13:08:28Z,2025-09-22T13:08:28Z,0,0,,False
UgybzxMYFJ8qLRscn8d4AaABAg,_pO7BRNdJdc,,,,@supamanlova9250,UCX4dC__Fe0SKnPjRRnvkVMQ,This makes me happy,2025-09-22T13:07:38Z,2025-09-22T13:07:38Z,0,1,,False
UgzrlUwbMLx837ikwUV4AaABAg,_pO7BRNdJdc,,,,@MattSuguisAsFondAsEverrr,UCEgwl-BQkCHJqRRMfn1QF9w,the algorithm has decided i need chinese music,2025-09-22T12:44:33Z,2025-09-22T12:44:33Z,0,0,,False
Ugz1IuK0XJ0fDwvRWhF4AaABAg,_pO7BRNdJdc,,,,@FunnyHa-ha,UCqgwG_jOZHSUz9I-JnedqkQ,so nice❤ i love china so much ❤,2025-09-22T12:12:27Z,2025-09-22T12:12:27Z,0,0,,False
Ugx_zq7lRLQcMXXDODB4AaABAg,_pO7BRNdJdc,,,,@rollrick5615,UCDK4Xa55Dk-1AGhFXPaIr8w,"挺好听，感谢您<br>that&#39;s great, thank you sir",2025-09-22T12:11:46Z,2025-09-22T12:11:46Z,0,1,,False
UgyMr0yI49l0Y_ngt4Z4AaABAg,_pO7BRNdJdc,,,,@HVT-ea3,UCNt8-pQOY1o8D-SUwuytyZw,You looks so happy in your old age! Keep up with your passion man!!!,2025-09-22T12:10:55Z,2025-09-22T12:10:55Z,3,1,,False
Ugxtr5vHqclhgnUp0od4AaABAg,_pO7BRNdJdc,,,,@Soshikix,UClnUEy66S98Vte0kXTjLdEA,"Beautiful, the algorithm blessed me today.",2025-09-22T12:07:52Z,2025-09-22T12:07:52Z,0,0,,False
UgwywxN5PQSaPI8JVKR4AaABAg,_pO7BRNdJdc,,,,@Arcliff7,UCTVBEZTc2V_bozOz37QSOQA,goes hard,2025-09-22T12:04:47Z,2025-09-22T12:04:47Z,0,0,,False
Ugyy6m56qUQqF1r8HRh4AaABAg,_pO7BRNdJdc,,,,@jacoposilvestri543,UChHWy1tz6RWEfVvlHwhayfg,好听机了❤,2025-09-22T11:58:33Z,2025-09-22T11:58:33Z,0,0,,False
Ugz85fQw5QC5qBakOvt4AaABAg,_pO7BRNdJdc,,,,@birdyashiro1226,UCTV-gJLOGW3kzX3WfbpUcIA,o.o wow,2025-09-22T11:40:54Z,2025-09-22T11:40:54Z,0,0,,False
Ugxz7JVIUwIgW4gDjKZ4AaABAg,_pO7BRNdJdc,,,,@ChristianRonald-wf6qt,UC-lkmtoaPdcF8E0yIAzlLcw,"excellent work, John! thank you for this",2025-09-22T11:11:18Z,2025-09-22T11:11:18Z,0,1,,False
UgyB_0ZsDxHTa2joovp4AaABAg,_pO7BRNdJdc,,,,@沈川,UC3Bjn8BpdjYOj1Rxo47nbBA,This is the egg that made me a banana,2025-09-22T11:09:41Z,2025-09-22T11:09:41Z,0,1,,False
UgzUZMxwlibs7FUZsit4AaABAg,_pO7BRNdJdc,,,,@oliverlennox6828,UCGxcOG0vzAdaNH_t-TEfw2w,I love your outfits.,2025-09-22T10:49:22Z,2025-09-22T10:49:22Z,0,0,,False
Ugwgt7tGstoxgB7JMGV4AaABAg,_pO7BRNdJdc,,,,@Special_Observations_89,UChjEwnvLyNmmBOKVZ-0UAAw,Ultra rare algo pull,2025-09-22T10:27:58Z,2025-09-22T10:27:58Z,0,0,,False
UgzS-jGaih-R55wEppx4AaABAg,_pO7BRNdJdc,,,,@kobegaoyt8923,UCxrXg5zfbH1yHoyQ1FcTN7A,"Sir, blink twice if the CCP is holding you at gunpoint.",2025-09-22T09:52:55Z,2025-09-22T09:52:55Z,2,0,,False
UgyfxRpkCgvDuZXQOZl4AaABAg,_pO7BRNdJdc,,,,@Banhmiweeboo,UCwgTfhDmKqad-09Ol474ong,"nice video sir, i really like your skill. Have a nice day",2025-09-22T08:27:09Z,2025-09-22T08:27:09Z,0,2,,False
UgxvThlHfE8hDCQgJTV4AaABAg,_pO7BRNdJdc,,,,@whensmahvel3741,UCIUyawaqEiGF3sBn032S1pw,hell yeah,2025-09-22T07:57:23Z,2025-09-22T07:57:23Z,0,0,,False
UgwCjhTEyhvCZMOk7JB4AaABAg,_pO7BRNdJdc,,,,@ClippyMaximus,UCSdlFXa8BGLFJU6JTFhxP1A,this is perfect YouTube,2025-09-22T06:35:33Z,2025-09-22T06:35:33Z,0,0,,False
UgzDB2i7oAw0uai8dRJ4AaABAg,_pO7BRNdJdc,,,,@ComradeClippies,UCOYzGTynYX-MPwoiIQ6AOyg,Social credit 😅😅😅,2025-09-22T06:28:40Z,2025-09-22T06:28:40Z,0,0,,False
UgwEX_yjF5L7u0P0isp4AaABAg,_pO7BRNdJdc,,,,@chubbyblackboi,UCcdEolVOXHl1y39ahSY-6NA,🦍💨,2025-09-22T06:12:12Z,2025-09-22T06:12:12Z,0,0,,False
UgzaEq1XbcHBRWAhgxx4AaABAg,_pO7BRNdJdc,,,,@PrezDCS,UCZT82FkHFm94yxNCLGNu5vw,Powerful stuff...,2025-09-22T05:19:15Z,2025-09-22T05:19:15Z,0,0,,False
Ugz88vcE-KkYqOSCreJ4AaABAg,_pO7BRNdJdc,,,,@theduck9902,UCl6MvmQ6CbHfJj9seoOTqPg,I fw this heavy,2025-09-22T05:07:42Z,2025-09-22T05:07:42Z,0,0,,False
Ugzbe_DNn08F_PugD9B4AaABAg,_pO7BRNdJdc,,,,@baranu1937,UCo_1434BH4vbpy6-iZbWXLQ,"This is beautiful, thank you, kind sir!",2025-09-22T04:34:24Z,2025-09-22T04:34:24Z,2,1,,False
UgyxcLyrXvVXrn7Apdl4AaABAg,_pO7BRNdJdc,,,,@ligmaNUUUUUTTS,UCJ0ymCdz7ZTrBHqrnk1C5Sw,Amazing playing ❤,2025-09-22T04:33:23Z,2025-09-22T04:33:23Z,0,0,,False
UgxhDVbiEdV01hl-KsB4AaABAg,_pO7BRNdJdc,,,,@arcray13,UCeTSA458RrICdRRFskasRug,That was lit,2025-09-22T04:17:11Z,2025-09-22T04:17:11Z,0,0,,False
UgwRgFdG_4vd68T4ZUZ4AaABAg,_pO7BRNdJdc,,,,@YJSP893,UCLCaNtCsHothQUrosgRgk6Q,Xiamenese here,2025-09-22T04:17:05Z,2025-09-22T04:17:05Z,0,1,,False
UgzOL1EzFa_rX9njKXt4AaABAg,_pO7BRNdJdc,,,,@MrAlphaCrazy,UCf2EtWT4wlicVUuN6i1OWzw,"This is what youtube used to be, no filters, no bs, just people enjoyin themselves.",2025-09-22T04:09:14Z,2025-09-22T04:09:37Z,0,0,,False
UgwKtQZxUDjGhf8QH-R4AaABAg,_pO7BRNdJdc,,,,@gabberpietor,UC45SR3C5D_GF3iVZDpXUZ_g,What a beautiful song sir. Please keep playing.,2025-09-22T04:09:07Z,2025-09-22T04:09:07Z,0,1,,False
Ugz8IPmlvie_enzwGM94AaABAg,_pO7BRNdJdc,,,,@cera_cymmetry,UC1lxj9BIp6cNKwL5ggCYVPg,monster hunter,2025-09-22T03:48:22Z,2025-09-22T03:48:22Z,0,0,,False
UgxdxUTltbCHTxuXYJx4AaABAg,_pO7BRNdJdc,,,,@gitpusher2400,UCldfRze7okyC59gC-qjTfyA,<b>eats Panda Express one time</b>,2025-09-22T03:43:54Z,2025-09-22T03:43:54Z,0,0,,False
UgzJNvdU-Jh3C5CmbqZ4AaABAg,_pO7BRNdJdc,,,,@remneedssleep7247,UCBvWPCKDUsZLWML79nt1pRg,this is so beautiful! i love this video! keep it up!,2025-09-22T03:31:30Z,2025-09-22T03:31:30Z,0,1,,False
UgwIKIiSEqLGzcFOFqN4AaABAg,_pO7BRNdJdc,,,,@sullivanjeffries1221,UCHonvJp3g5S1yAAd-k5hxmA,china,2025-09-22T03:29:58Z,2025-09-22T03:29:58Z,0,0,,False
UgwVEyU_rFEXYBRABON4AaABAg,_pO7BRNdJdc,,,,@robbycarr1905,UCROTBotDCs-VuwSWEa4h3RQ,"Hello Jon, <br>I teach 8th grade world history and we are covering Chinese history. I played this video for my students, and they thought it was wonderful. One of my students loved how confident you were in yourself to post this. Never change brother. <br>Sincerly, <br>Mr. Carr",2025-09-22T03:25:13Z,2025-09-22T03:25:13Z,176,1,,False
UgyMz4RAXQVhAadqw-p4AaABAg,_pO7BRNdJdc,,,,@chazincharge,UC9Bjx7T9vuCr17IX1iJ_JPw,Good work Jon. Love listening to this.,2025-09-22T03:14:17Z,2025-09-22T03:14:17Z,0,1,,False
Ugw0zu2lbkUMY1FAEbt4AaABAg,_pO7BRNdJdc,,,,@ule,UCqEag4oU4rC91zpbRnpTmYQ,beautiful,2025-09-22T02:37:11Z,2025-09-22T02:37:11Z,0,1,,False
UgxV-EgwUCmigK6ZKS54AaABAg,_pO7BRNdJdc,,,,@huskyslushii5633,UCpcZaccH-pe0zc9WFuNC3PA,id love you at my theoretically wedding mr peck. excellent performance.,2025-09-22T02:29:48Z,2025-09-22T02:29:48Z,0,0,,False
UgzYcfdNSLEPgzg0XKx4AaABAg,_pO7BRNdJdc,,,,@Lindalulu10284,UCZSxTDsj9RbDxXrd6MgzZMw,This is awesome! Keep it up Jon Peck 👍,2025-09-22T02:22:07Z,2025-09-22T02:22:07Z,0,0,,False
Ugy20A7Xp_soSNBoj954AaABAg,_pO7BRNdJdc,,,,@howardfairbanks8337,UCRA0ltrnjVhml3QCbub-ZcA,"Cute outfit, would definitely let you hitchhike my silk road wagon",2025-09-22T02:21:16Z,2025-09-22T02:21:16Z,0,0,,False
Ugx6Vxdkpn0qoFZ1bLV4AaABAg,_pO7BRNdJdc,,,,@rozhsoh-muh,UCMg7qwZ2UDsK-JxhKcKUTjA,"i was honestly expecting this to be a shitpost based on the thumbnail but no, this is so wholesome",2025-09-22T02:00:35Z,2025-09-22T02:00:35Z,0,0,,False
UgxdDGwGkJshzaPQUah4AaABAg,_pO7BRNdJdc,,,,@thesysop4998,UCe3VUK8w0hpkR-FvzES93vA,Who else just came from the pickle pepsi guy to this video,2025-09-22T01:50:07Z,2025-09-22T01:50:07Z,0,0,,False
UgyjKSo51g_JvS_NtWR4AaABAg,_pO7BRNdJdc,,,,@dea6997,UCgU8NLgZcwskyUp2XQ3gbpQ,I built this algorithm brick by brick.,2025-09-22T01:38:17Z,2025-09-22T01:38:17Z,0,0,,False
Ugw8bsC9MdTL0eVb9HZ4AaABAg,_pO7BRNdJdc,,,,@Anubis710,UC9QStlJ3M5xe1jA8sjny4Ig,Lowk hitting that shi unc,2025-09-22T01:16:42Z,2025-09-22T01:16:42Z,0,0,,False
Ugzg3QSd-ECQiP8uljR4AaABAg,_pO7BRNdJdc,,,,@maybepossiblything,UCvjXBvCEUc8Mmlf10rdgEuw,"I fw this. (f* with, &quot;I like it&quot;)",2025-09-22T01:13:34Z,2025-09-22T01:13:34Z,0,0,,False
Ugz1YXb5oeBHz_6-M2Z4AaABAg,_pO7BRNdJdc,,,,@thejimjimjim7,UCynv_NTS574ZNjOi6_lem0Q,the ccp is bad but you are good,2025-09-22T01:11:25Z,2025-09-22T01:11:25Z,0,1,,False
Ugz5HI0l22VxKKg4C0V4AaABAg,_pO7BRNdJdc,,,,@sonya521,UCzcVrpgMNF6Oct6Vpo44lgQ,This is what YouTube was made for,2025-09-22T00:57:19Z,2025-09-22T00:57:19Z,0,0,,False
Ugzpr5eLRzAfZHfDBVV4AaABAg,_pO7BRNdJdc,,,,@Rocksaplenty,UC0sfW6w86kNq641rUTS88dA,"I really enjoyed this, well played.",2025-09-22T00:52:18Z,2025-09-22T00:52:18Z,0,0,,False
UgxSnpVYhy12gNCQ13p4AaABAg,_pO7BRNdJdc,,,,@walnut_raisin2621,UCrjNi6i-lv1XMSk7uaP7Q4A,Break it down grandpa,2025-09-22T00:41:29Z,2025-09-22T00:41:29Z,0,0,,False
UgxZzrqHjDLeAVFaL3l4AaABAg,_pO7BRNdJdc,,,,@sam-ky9sj,UCjvmBV_u8yDZK6V7OZBb6zQ,This is so good! I love it! Thank you for sharing.,2025-09-22T00:34:43Z,2025-09-22T00:34:43Z,0,1,,False
UgyhYbko0CRXKsVQTbV4AaABAg,_pO7BRNdJdc,,,,@GOATEDNOKIZZY,UCXKmVXWkWTzSTmnMYbEtqVA,funky vibe...,2025-09-22T00:30:21Z,2025-09-22T00:30:21Z,0,0,,False
Ugwj1vziuQOC7-Tiu414AaABAg,_pO7BRNdJdc,,,,@canadian_bread310,UCOT9qJKhkO4hjZj5oy0J3ug,See y’all in 2030 when YouTube randomly recommends this to millions of people,2025-09-22T00:07:20Z,2025-09-22T00:07:20Z,0,0,,False
UgwxQfFFm8pr3M-5ggd4AaABAg,_pO7BRNdJdc,,,,@golden_ratio,UCffDAswNVoQVYvMq52JEX3w,Commenting to get to 888 comments (lucky in chinese),2025-09-22T00:06:06Z,2025-09-22T00:06:06Z,1,1,,False
UgxvuLVx-puz0knZL1d4AaABAg,_pO7BRNdJdc,,,,@JustVic-92,UCWf37NTyS0l1J5UMvCCJiMQ,"Just came across this on the way to bed. Lovely to see such a simple, personal video nowadays.<br><br>Keep it up. I wish you the best on your journey.",2025-09-21T23:41:44Z,2025-09-21T23:41:44Z,0,1,,False
UgxyI7ON_TNWwHrsLMJ4AaABAg,_pO7BRNdJdc,,,,@AAA-fh5kd,UCbHTtLVABtfFmn4h6lXXzxg,what absolute utter garbage.,2025-09-21T23:41:09Z,2025-09-21T23:41:09Z,0,3,,False
UgyrGmItDbhVxpZiGER4AaABAg,_pO7BRNdJdc,,,,@automaticwriting4220,UCw_uBOEMEidqSANxgsq2_Ag,Ding gong dong gong dong,2025-09-21T23:33:01Z,2025-09-21T23:33:01Z,0,0,,False
Ugz6UVclZ0I6s_31wHV4AaABAg,_pO7BRNdJdc,,,,@noobguy7023,UCjYShOQMqXf7Dwv1xVpy0-Q,beautifully played,2025-09-21T23:23:01Z,2025-09-21T23:23:01Z,0,0,,False
UgxtZjLFMhWbuLXGWmt4AaABAg,_pO7BRNdJdc,,,,@elizabuppy,UCSXgHeG6EDfEohb5K1ULyiA,"funny algorithm recommendation aside, this is beautiful! i assume you play other string instruments?",2025-09-21T23:09:09Z,2025-09-21T23:09:09Z,0,1,,False
Ugw_YTmH1eyO0dIISu94AaABAg,_pO7BRNdJdc,,,,@ASharkNamedSkye,UCC6-8ph_Chkrrg5Mz0c8Zcg,he HITTIN that shit,2025-09-21T23:08:36Z,2025-09-21T23:08:36Z,1,0,,False
Ugx4tpSPaHJd8p4c9rR4AaABAg,_pO7BRNdJdc,,,,@fwardale,UC4oaJUIQwH4UwVY_F073Xag,This is unironically so cool,2025-09-21T22:31:41Z,2025-09-21T22:31:41Z,2,0,,False
UgwlFG5oXgrup9aTVJB4AaABAg,_pO7BRNdJdc,,,,@escadoradora,UCYDxIRbywGrK_zeDJ7Qzn3A,"This is beautiful, thank you",2025-09-21T22:11:56Z,2025-09-21T22:11:56Z,0,0,,False
UgzWF_e-MCQLUPVNE4F4AaABAg,_pO7BRNdJdc,,,,@nevothefirst,UCujghvNJGc6HGmYkPSDBBUw,gramps still got it,2025-09-21T21:54:36Z,2025-09-21T21:54:36Z,0,0,,False
UgwXli_6fFNxp8vPYkF4AaABAg,_pO7BRNdJdc,,,,@VinegarShotsYT,UCFD_NoegVMmrKcAyTxYLlMA,"<a href=""UCkszU2WH9gy1mb0dV-11UJg/LsMfY8P6G-yckNAPjoWA8AI""></a>",2025-09-21T21:52:31Z,2025-09-21T21:52:31Z,0,0,,False
UgzwXA__4JOanTHEZEt4AaABAg,_pO7BRNdJdc,,,,@ArceniaVII,UC4qPUUydBT3Zwhq-m0cAYQw,This was amazing thank you,2025-09-21T21:48:41Z,2025-09-21T21:48:41Z,0,1,,False
UgzrXUFvXFaEuS3eewZ4AaABAg,_pO7BRNdJdc,,,,@searysands,UC8tb-sDo4rRHxjNQ_zxcfqg,respect to CCP!,2025-09-21T21:41:58Z,2025-09-21T21:41:58Z,0,0,,False
UgzExdlqMILTRFvUumB4AaABAg,_pO7BRNdJdc,,,,@darkangel9551,UCP0y6PjcXSbC7gbp-Veiw1g,Sounds so peaceful,2025-09-21T21:26:32Z,2025-09-21T21:26:32Z,0,0,,False
UgzCRVvaqipK_GgjqRp4AaABAg,_pO7BRNdJdc,,,,@thesupertaco1934,UCuKFbSZOgThGI3y4Q6d6gZw,Wow this is very fun! You should do one wearing a Hanfu robe instead of Manchu clothing as most chinese music are of Han chinese origin instead of Manchu.,2025-09-21T21:14:16Z,2025-09-21T21:14:16Z,1,0,,False
UgxswjBi8t7k8b4X9bJ4AaABAg,_pO7BRNdJdc,,,,,UC_pERi0tXsl16199gfexiQg,+100000000 social credit,2025-09-21T20:57:21Z,2025-09-21T20:57:21Z,0,0,,False
