author_key,display_name,authorChannelId,n_comments,cluster,avg_len,reply_share,mean_likes,sent_mean,sent_std,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,neutral,sample_comment
UC3os-5Sbbor9X_2vo1We4TA,@MK_1Ultra,UC3os-5Sbbor9X_2vo1We4TA,1,1,4.0,0.0,1.0,-0.3612,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,The shade range sucks
UC3rtV8errGNt-r0EpoUhvSQ,@jenniferlewis9940,UC3rtV8errGNt-r0EpoUhvSQ,1,4,3.0,0.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,The shade 🙄
UC3uDp50QBhjEvDQxSWat1sQ,@despinabryant5073,UC3uDp50QBhjEvDQxSWat1sQ,1,3,28.0,0.0,0.0,0.832,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"My husband got me this for Christmas, and yesterday was the first time I used it. I can truly say that it worked!!! My hair look so good!!!"
UC40Im2yoW7I-zdBT8nzO18A,@expatrucker,UC40Im2yoW7I-zdBT8nzO18A,1,2,12.0,0.0,22.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ms Pia Wurtzbach Jauncey you 👑  rock 🎸 and all the sisterhood
UC43x83UD96E_E45DpoRtvZg,@DeviousDoll1629,UC43x83UD96E_E45DpoRtvZg,1,2,6.0,0.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,But what color is that ????
UC4JPA8FsrR0DCnRSO3porNg,@__ticky__,UC4JPA8FsrR0DCnRSO3porNg,1,6,7.0,0.0,2.0,-0.5859,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Becky Rebecca Armstrong is on fire 🔥
UC4KHdvcowma7RIj5az1CAXQ,@CassandraWilliams-z7j,UC4KHdvcowma7RIj5az1CAXQ,1,7,18.0,0.0,2.0,0.5719,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,L&#39;Oreal did a spectacular job and you did such a wonderful job swatching them or showing them off.
UC4P9DniUCThyBf2rVzAJi_g,@timlacatena,UC4P9DniUCThyBf2rVzAJi_g,1,2,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,And in heels too. Slay!
UC4ZGxdwlFAgPDJ6TCssA9dA,@sassysoutherngirl7658,UC4ZGxdwlFAgPDJ6TCssA9dA,1,1,16.0,0.0,0.0,0.1083,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,She colored her hair and ash grey with no lowlights or high lights. Not for me.
UC4aLH2axfl5XrbKwjDmWRow,@vaibhavsharma646,UC4aLH2axfl5XrbKwjDmWRow,1,0,4.0,0.0,25.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,AISHWARYA RAI ....................................INCREDIBLLLLEEEEEE !
UC4eHID40Fvcn2aPPOaCBVfA,@KarseellZoey,UC4eHID40Fvcn2aPPOaCBVfA,1,1,4.0,0.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,bond hair shampoo ?
UC4jcOa2zj52KNmqZW2cxGng,@CesarTorres-bd4vg,UC4jcOa2zj52KNmqZW2cxGng,1,3,126.0,0.0,1.0,-0.0772,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Hola mami no se preocupe la comprendo la entiendo la entiendo y la súper entiendo los tacones estar con los tacones puntilla semana santa revólver L’Oréal los vestidos los sostenes las tangas todo justa todo cansa todo ahorca hasta yo le ahorco la molesto espero que no le incomode que yo la moleste todo bien yo sé🥴🥴🥴🥴no es que yo la amo mucho y por eso la comprendo porque sé que ha estado hasta trabajando. Todos estos días ha estado trasnochando eventos en los Estados Unidos en varias partes y lo sé mami por el momento descanse libre todos esos trapos un rato no sé qué me con el sol por favor no se meta el sol☀️☀️☀️🌞🌞🌞🥵🥵🥵🥵 protéjase ya sabe cuídese la piel mi vacon 🦶🏻🦶🏻😋😋😋😘🪆🇬🇧cesar
UC4kD4jglG4KtSMcZgAF1zRw,@niloofarbabavand-ci8yz,UC4kD4jglG4KtSMcZgAF1zRw,1,2,5.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,باحاله کاش توایران بود این
UC4llC1-VFnRoqvGUJfYjf7w,@LGMinnesota,UC4llC1-VFnRoqvGUJfYjf7w,1,0,21.0,0.0,26.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,I can&#39;t imagine this gets a thorough coating on the roots by just brushing. I&#39;d have to see it for myself.
UC4pKtfpagvynEdgXjMUErTw,@TheBennitayonz,UC4pKtfpagvynEdgXjMUErTw,1,1,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,🌹🌹🌹
UC4vbMckblI4tjTw6m5oJ5lw,@bernam7701,UC4vbMckblI4tjTw6m5oJ5lw,1,4,6.0,0.0,5.0,0.4588,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Pia Jauncey and Jane Fonda 😍🤩
UC4yQGI1z1ZcS5kcgNaHHJIw,@VivaLaVida202,UC4yQGI1z1ZcS5kcgNaHHJIw,1,0,9.0,0.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Can you put other brands of color in it?
UC55bYXg6qM136O6DgD0YHlg,@MainelySusieQ,UC55bYXg6qM136O6DgD0YHlg,1,0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,What shade is this??
UC55cg2cSSSJv66j-HpuhFxg,@reynita7146,UC55cg2cSSSJv66j-HpuhFxg,1,4,1.0,0.0,2.0,0.6369,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Beli❤
UC56-VDOUgIenhkG_I2mKABg,@sadafkazi7734,UC56-VDOUgIenhkG_I2mKABg,1,4,3.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Aishwarya.. the stunner!!!!
UC5El7LPrqtAzWR4QazLHIww,@SpanditaHalder,UC5El7LPrqtAzWR4QazLHIww,1,3,10.0,0.0,73.0,0.8074,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,As an Indian it&#39;s proud to Aishwarya and Divyashri ❤
UC5XmssoX2NiojWrWDBnWreA,@sidneiamartinsribeiro5376,UC5XmssoX2NiojWrWDBnWreA,1,0,1.0,0.0,0.0,0.7184,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Colorometria😊
UC5dpfwtYbgDxr90OBAJsW8Q,@PauloHenrique-z3u1d,UC5dpfwtYbgDxr90OBAJsW8Q,1,0,7.0,0.0,0.0,0.6988,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Atè a Thais Araujo minha gente 😮!!❤
UC5dvvT1l0cB60bqW0V7uAUw,@ManCaveGaming4U,UC5dvvT1l0cB60bqW0V7uAUw,1,2,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,...
