commentId,videoId,videoTitle,channelId,channelTitle,author,authorChannelId,text,publishedAt,updatedAt,likeCount,replyCount,parentId,isReply,text_clean,primary_emotion,vader_compound
UgyZY3O8iOaT8-Rn8jB4AaABAg,_pO7BRNdJdc,,,,@mvaloppies,UCI3HDX52KRIh4h7fGtmrvgg,I thought this was from 10-15 years ago. Great playing sir!!,2025-09-19T14:02:16Z,2025-09-19T14:02:16Z,0,1,,False,I thought this was from 10-15 years ago. Great playing sir!!,anticipation,0.7568
Ugzz58okT2WjElGRzdF4AaABAg,_pO7BRNdJdc,,,,@MikotoJinba,UCTG5YQ4dbbWzvNeWZG9F9nQ,什么鸡巴玩意<br>Great Job!,2025-09-19T13:22:06Z,2025-09-19T13:22:06Z,0,0,,False,什么鸡巴玩意<br>Great Job!,joy,0.0
UgxQS4GuwLqIS6tNdfh4AaABAg,_pO7BRNdJdc,,,,@arkadiuszpawebujak9804,UCoHANWwzfMv2eI78j5vl8cg,good,2025-09-19T12:47:37Z,2025-09-19T12:47:37Z,0,0,,False,good,anticipation,0.4404
UgxarpfZv_j-9skoRed4AaABAg,_pO7BRNdJdc,,,,@眞野ミオン,UCwHv8Y-MA1b-m1ctEEEB7ig,"Kind weird to say, it does not sound like a Chinese Chinese song, and seems to be exotic.",2025-09-19T12:18:38Z,2025-09-19T12:18:38Z,0,1,,False,"Kind weird to say, it does not sound like a Chinese Chinese song, and seems to be exotic.",disgust,0.1506
UgwsIUUgiLWZ8NtiaPl4AaABAg,_pO7BRNdJdc,,,,@profpuffofficial2,UCq8HgDz6cd813Zxod5TUGPw,Hell Yeah,2025-09-19T12:12:33Z,2025-09-19T12:12:33Z,0,0,,False,Hell Yeah,neutral,-0.5267
Ugx4uttnpJwykyaYrYh4AaABAg,_pO7BRNdJdc,,,,@paaapp768,UCgNAToIAn36G7DOIstQ-q6A,洋人也玩柳琴。,2025-09-19T11:54:41Z,2025-09-19T11:54:41Z,0,0,,False,洋人也玩柳琴。,neutral,0.0
UgwwpllfQWn5rlXannd4AaABAg,_pO7BRNdJdc,,,,@MatthiasRegisRict,UCx0cth8wq8BQvkkcMhzrPfQ,Mythical FYP pull,2025-09-19T11:53:26Z,2025-09-19T11:53:26Z,0,0,,False,Mythical FYP pull,anger,0.0
Ugwy8TOjXKJ0ZSf1C_N4AaABAg,_pO7BRNdJdc,,,,@notkerr,UC9NLXmcaeAloF5OXGa20_Iw,John Pork<br>&amp; John Peck ❤,2025-09-19T11:51:09Z,2025-09-19T11:51:09Z,1,1,,False,John Pork<br>&amp; John Peck ❤,neutral,0.6369
Ugx7oNvOxeShr0VwSXB4AaABAg,_pO7BRNdJdc,,,,@ScaredCat222,UCDwDuuj_ZXCmPZMxHB8IMJg,Keep it up! Love your content!💗💗,2025-09-19T11:49:20Z,2025-09-19T11:49:20Z,0,1,,False,Keep it up! Love your content!💗💗,joy,0.9484
UgwEudXb2P3pGM6atFB4AaABAg,_pO7BRNdJdc,,,,@thefunniestfella9366,UCpRWJK3D7SI34BS2_w56GMg,Investing in this before it gets big,2025-09-19T11:31:37Z,2025-09-19T11:31:37Z,0,0,,False,Investing in this before it gets big,neutral,0.0
Ugz0YBScrk0eU_97MDR4AaABAg,_pO7BRNdJdc,,,,@slim9768,UCN6LtqCnYTnRL2V5Ym7ddpg,Great stuff bro 😁,2025-09-19T10:28:48Z,2025-09-19T10:28:48Z,0,1,,False,Great stuff bro 😁,joy,0.7964
UgzRjeXqNasBrRQ_oDh4AaABAg,_pO7BRNdJdc,,,,@ScalletaEvaBloodlymoon,UCyuAAxM4aP0G5X1RFyMEM0A,Omg thank you youtube<br>also nice job !,2025-09-19T10:21:21Z,2025-09-19T10:21:21Z,0,0,,False,Omg thank you youtube<br>also nice job !,anger,0.68
Ugwv-YUpa9_doJayClp4AaABAg,_pO7BRNdJdc,,,,@Usushsudiirirjjtkgk,UCewtU9_kNZ5CYNhkieiXwxA,Free tibet,2025-09-19T09:47:16Z,2025-09-19T09:47:16Z,0,0,,False,Free tibet,neutral,0.5106
Ugx8aZyg9C9pkWdEHa54AaABAg,_pO7BRNdJdc,,,,@kroneexe,UC209QwufzCJTK_jmhjoihQw,"Thank you, Jon Peck. Wonderful!",2025-09-19T09:17:19Z,2025-09-19T09:17:19Z,0,0,,False,"Thank you, Jon Peck. Wonderful!",joy,0.7574
Ugyq0oCs_M0QLJUaDIB4AaABAg,_pO7BRNdJdc,,,,@ceesay3842,UCQ0A7FabFLiuXbI3AM4vcEw,laoganma crispy chilli oil,2025-09-19T09:00:28Z,2025-09-19T09:00:28Z,0,0,,False,laoganma crispy chilli oil,neutral,0.0
UgzyI43r8mR5tG3M-lx4AaABAg,_pO7BRNdJdc,,,,@guneskeskin4636,UC6k61sqx78nOAcXOvf28dzg,Don&#39;t know why it happened but I&#39;m glad that this was recommended to me out of nowhere.,2025-09-19T08:45:01Z,2025-09-19T08:45:01Z,0,0,,False,Don&#39;t know why it happened but I&#39;m glad that this was recommended to me out of nowhere.,anticipation,0.7351
Ugwj93xzMogqn-WHKkR4AaABAg,_pO7BRNdJdc,,,,@illya0000,UCBLA6WryR0sefCysNKFqb8w,bro i am Hmong,2025-09-19T08:35:09Z,2025-09-19T08:35:09Z,0,0,,False,bro i am Hmong,neutral,0.0
Ugx28macoDrazMR7gY54AaABAg,_pO7BRNdJdc,,,,@paradisoFinder,UC2lRCkk5Yj62oOItkybxNkg,down to the flag and costume. this is peak quality video,2025-09-19T08:33:11Z,2025-09-19T08:33:11Z,0,0,,False,down to the flag and costume. this is peak quality video,neutral,0.0
